ID,ELEMENT_NAME,ctlvalue,initCond1,returnCond1,returnCondTO
:R:A:BAS:VRF_:dioBAS-WIND:dovBAS-CTLVAL2,dov_type,2,,,
:R:A:BAS:VRF_:dioBAS-WIND:dovBAS-CTLVAL3,dov_type,3,,,
:R:A:BAS:FJPG:dioBAS-MANAUTO:dovBAS-CTLVAL0,dov_type,0,"IF([^:^:dciBAS-MANAUTO.value]=1,1,0)","IF([^:^:dciBAS-MANAUTO.value]=0,1,0)",30
:R:A:BAS:FJPG:dioBAS-MANAUTO:dovBAS-CTLVAL1,dov_type,1,"IF([^:^:dciBAS-MANAUTO.value]=0,1,0)","IF([^:^:dciBAS-MANAUTO.value]=1,1,0)",30
:R:A:BAS:FJPG:dioBAS-FLOPN:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-MANAUTO.value]=1) AND ([^:^:dciBAS-FULCLO.value]=1),1,0)","IF([^:^:dciBAS-FULOPN.value]=1,1,0)",30
:R:A:BAS:FJPG:dioBAS-FLCLO:dovBAS-CTLVAL1,dov_type,1,"IF(([^:^:dciBAS-MANAUTO.value]=1) AND ([^:^:dciBAS-FULOPN.value]=1),1,0)","IF([^:^:dciBAS-FULCLO.value]=1,1,0)",30
:R:A:BAS:RSET:dioBAS-FIRERESET:dovBAS-CTLVAL1,dov_type,1,,,
:R:A:BAS:SYS_:dioBAS-SYSSEL:dovBAS-CTLVAL1,dov_type,1,,,
:R:A:BAS:SYS_:dioBAS-SYSSEL:dovBAS-CTLVAL2,dov_type,2,,,
:R:A:BAS:SYS_:dioBAS-SYSSEL:dovBAS-CTLVAL3,dov_type,3,,,
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL0,dov_type,0,,,
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL1,dov_type,1,,,
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL2,dov_type,2,,,
:R:A:BAS:STA1:dioBAS-HOSTAT:dovBAS-CTLVAL3,dov_type,3,,,
