ID,ELEMENT_NAME,ackAutomaton,valueAutomaton,theme
:R:A:BAS:LQT_:dciBAS-STPSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LQT_:dciBAS-FALA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LQT_:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-BASLOC:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-ENCTL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-RUNSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-STOPSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-FALA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-ECSPOS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-NCFRSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-FRQOPER:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-FREQFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:HPFD:aciBAS-FEQFDBK:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:HPFD:aciBAS-AVGCUR:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:HPFD:aciBAS-AVGVOLT:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:AHUD:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-BASLOC:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-ENCTL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-RUNSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-STOPSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-FALA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-ECSPOS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-NCFRSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-FRQOPER:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-FREQFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:AHUD:aciBAS-FEQFDBK:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:AHUD:aciBAS-AVGCUR:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:AHUD:aciBAS-AVGVOLT:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:LDB_:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-BASLOC:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-ENCTL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-RUNSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-STOPSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-FALA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-ECSPOS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-NCFRSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-FRQOPER:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-FREQFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:LDB_:aciBAS-FEQFDBK:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:LDB_:aciBAS-AVGCUR:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:LDB_:aciBAS-AVGVOLT:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:DDZF:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDZF:dciBAS-BASLOC:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDZF:dciBAS-ENCTL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDZF:dciBAS-OPENSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDZF:dciBAS-CLOSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDZF:dciBAS-VLVALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDZF:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFD:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFD:dciBAS-BASECS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFD:dciBAS-OPENSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFD:dciBAS-CLOSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFD:dciBAS-VLVALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFD:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFX:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFX:dciBAS-BASECS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFX:dciBAS-OPENSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFX:dciBAS-CLOSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFX:dciBAS-VLVALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFX:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFR:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFR:dciBAS-BASECS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFR:dciBAS-OPENSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFR:dciBAS-CLOSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFR:dciBAS-VLVALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDFR:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDDF:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDDF:dciBAS-BASECS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDDF:dciBAS-OPENSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDDF:dciBAS-CLOSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDDF:dciBAS-VLVALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DDDF:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TDDF:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TDDF:dciBAS-ENCTL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TDDF:dciBAS-FULOPN:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TDDF:dciBAS-HLVOPN:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TDDF:dciBAS-CLOSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TDDF:dciBAS-VLVALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:TDDF:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:XDDF:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:XDDF:dciBAS-ENCTL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:XDDF:dciBAS-FULOPN:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:XDDF:dciBAS-HLVOPN:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:XDDF:dciBAS-CLOSTA:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:XDDF:dciBAS-VLVALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:XDDF:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-MANAUTO:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-LOCAL:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-REMOTE:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-RUNSTOP1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-FLTALM1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-RUNSTOP2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-FLTALM2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-UHLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-DWPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-SIGPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-STPPUMP:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-LLALM:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-MPRTFLT1:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-MPRTFLT2:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-ULFLT:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:dciBAS-SYSGS:dal,dal_type,Ack,DIBasic2StateLog,0
:R:A:BAS:DJSB:aciBAS-LEVSTA:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:DJSB:aciBAS-RUNTIME1:aal,aal_type,Ack,AIBasic2StateHisterisis,0
:R:A:BAS:DJSB:aciBAS-RUMTIME2:aal,aal_type,Ack,AIBasic2StateHisterisis,0
