ID,v0,v1,v2,v3,v4
:R:A:BAS:EPS1:aciBAS-TOTVOLT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-BATTEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-INVOLTL1:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-INVOLTL2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-INVOLTL3:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-OTVOLTL1:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-OTVOLTL2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-OTVOLTL3:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-CURL1:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-CURL2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:EPS1:aciBAS-CURL3:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-INWATEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-OUTWATEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-CHINTEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-CHOUTEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-EVAPORAT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-CONDENSE:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-RUNTIME:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:LSJZ:aciBAS-PERUNIT:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TVFB:aciBAS-FORTEM:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TVFB:aciBAS-BAKTEM:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TVFB:aciBAS-RONDTEM:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TEFB:aciBAS-VERTBRK:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TEFB:aciBAS-HORIBRK:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TEFB:aciBAS-FORTEM:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TEFB:aciBAS-BAKTEM:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:TEFB:aciBAS-RONDTEM:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:KQJC:aciBAS-TEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:KQJC:aciBAS-HUMIDITY:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:KQJC:aciBAS-TVO:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:KQJC:aciBAS-PM25:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:KQJC:aciBAS-PM10:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:KQJC:aciBAS-CO2:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SNWS:aciBAS-TEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SNWS:aciBAS-HUMIDITY:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:GDWS:aciBAS-TEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:GDWS:aciBAS-HUMIDITY:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SGWD:aciBAS-TEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:GDWD:aciBAS-TEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SNWD:aciBAS-TEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:CO2_:aciBAS-CO2CONC:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:YLBS:aciBAS-PRESB:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:YCBS:aciBAS-PRESB:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:DCLL:aciBAS-FLOW:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:ETF_:aciBAS-OPFEDBAC:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:YCPT:aciBAS-OPFEDBAC:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:VRF_:aciBAS-TEMP:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
:R:A:BAS:SYS_:aciBAS-SYSMODE:aal:V_valueLimits,0,-9.999999680285692e+37,-9.999999680285692e+37,9.999999680285692e+37,9.999999680285692e+37
