ID,ELEMENT_NAME,label,valueLength,unit,__AGGREGATE__,initCond1,returnCond1,returnCondTO,Archive,hmiOrder,computedMessage,type
:R:A:BAS:AHUD:aioBAS-FRQSET,aio_type,&DB_PINLVSHEDING,,&DB9,,,,,,20,"SCS_FTOA([.value],""0"",[.unit])",
:R:A:BAS:LDB_:dciBAS-MANAUTO,dci_cb_type,&DB_SHOUDONGZIDONGZHUANGTAI,,,,,,,,1,,__ERASE__
:R:A:BAS:LDB_:dciBAS-BASLOC,dci_cb_type,&DB_BASHUANKONGJIUDIBIANPIN1,,,,,,,,2,,__ERASE__
:R:A:BAS:LDB_:dciBAS-ENCTL,dci_cb_type,&DB_BASHUANKONGBIANPIN,,,,,,,,3,,__ERASE__
:R:A:BAS:LDB_:dciBAS-RUNSTA,dci_cb_type,&DB_BIAN,,,,,,,,4,,__ERASE__
:R:A:BAS:LDB_:dciBAS-STOPSTA,dci_cb_type,&DB_BIAN1,,,,,,,,5,,__ERASE__
:R:A:BAS:LDB_:dciBAS-FALA,dci_cb_type,&DB_GUZH1,,,,,,,,6,,__ERASE__
:R:A:BAS:LDB_:dciBAS-ECSPOS,dci_cb_type,&DB_BASHUANKONGGONGPIN,,,,,,,,7,,__ERASE__
:R:A:BAS:LDB_:dciBAS-NCFRSTA,dci_cb_type,&DB_GONGPINBIANPINZHUANGTAI,,,,,,,,8,,__ERASE__
:R:A:BAS:LDB_:dciBAS-FRQOPER,dci_cb_type,&DB_GONGPINYUNXINGZHUANGTAI,,,,,,,,9,,__ERASE__
:R:A:BAS:LDB_:dciBAS-FREQFLT,dci_cb_type,&DB_GONGPINGUZHANGZHUANGTAI,,,,,,,,10,,__ERASE__
:R:A:BAS:LDB_:dciBAS-SYSGS,dci_cb_type,&DB_XITONGGUISHU,,,,,,,,11,,__ERASE__
:R:A:BAS:LDB_:dioBAS-MANAUTO,dio_type,&DB_SHOUDONGZIDONGKONGZHI,,,,,,,,12,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:LDB_:dioBAS-START,dio_type,&DB_BIAN3,,,,,,,,13,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:LDB_:dioBAS-STOP,dio_type,&DB_BIAN4,,,,,,,,14,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:LDB_:dioBAS-FQSTART,dio_type,&DB_GONG4,,,,,,,,15,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:LDB_:dioBAS-FQSTOP,dio_type,&DB_GONG5,,,,,,,,16,"Int2String(Byte2Int([.value],0,2))",
:R:A:BAS:LDB_:aciBAS-FEQFDBK,aci_cb_type,&DB_BIANPINGUIPINLVFANKUI,,&DB9,,,,,,17,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:LDB_:aciBAS-AVGCUR,aci_cb_type,&DB_PINGJUNGONGZUODIANLIUZHI,,&DB_A,,,,,,18,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:LDB_:aciBAS-AVGVOLT,aci_cb_type,&DB_PINGJUNGONGZUODIANYAZHI,,&DB_V,,,,,,19,"SCS_FTOA([.value],""2"",[.unit])",
:R:A:BAS:LDB_:aioBAS-FRQSET,aio_type,&DB_PINLVSHEDING,,&DB9,,,,,,20,"SCS_FTOA([.value],""0"",[.unit])",
