ID,lk0
:R:A:QHB:PSCADA:DCSC0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DJXG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCFG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCSC0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DJXG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCFG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCSC0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DKXG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:XLFG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCSC0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DKXG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:XLFG0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCSC0005:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DKXG0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:XLFG0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCSC0006:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DKXG0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:XLFG0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DCSC0007:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:DNKG0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0001:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0002:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0003:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0004:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0005:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
:R:A:QHB:PSCADA:ZSCD0006:link_fct_cat,:R:A:Opm:Definition:Function:PSCADA-1500
