ID,__AGGREGATE__,label,link_object_is_from_object_type,ELEMENT_NAME,lk0,lk1,shortLabel,EqtLocation
:R:A:ZXN:FAS:SRMK0244,FAS_SRMK,&DB_FMS70502,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS705MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0005,FAS_GWDL,&DB_TC5,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGADUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0245,FAS_SRMK,&DB_FMS70503,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS705MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0246,FAS_SRMK,&DB_FMS70504,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS705MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0006,FAS_GWDL,&DB_TC4,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGADUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0247,FAS_SRMK,&DB_FMS70505,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS705MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0248,FAS_SRMK,&DB_FMS70506,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS705MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0007,FAS_GWDL,&DB_TC12,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0249,FAS_SRMK,&DB_FMS70601,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYUFMS706MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0250,FAS_SRMK,&DB_FMS70602,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYUFMS706MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0008,FAS_GWDL,&DB_TC11,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0251,FAS_SRMK,&DB_FMS70603,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYUFMS706MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0252,FAS_SRMK,&DB_FMS70604,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYUFMS706MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0009,FAS_GWDL,&DB_TC10,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0253,FAS_SRMK,&DB_FMS70605,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYUFMS706MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0254,FAS_SRMK,&DB_FMS70606,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGBDUANRUODIANJINGQUYUFMS706MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0010,FAS_GWDL,&DB_TC9,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGADUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0255,FAS_SRMK,&DB_FMS70701,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS707MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0256,FAS_SRMK,&DB_FMS70702,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS707MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0011,FAS_GWDL,&DB_TC8,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGADUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0257,FAS_SRMK,&DB_FMS70703,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS707MOKUAIXIANG
:R:A:ZXN:FAS:SRMK0258,FAS_SRMK,&DB_FMS70704,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS707MOKUAIXIANG
:R:A:ZXN:FAS:GWDL0012,FAS_GWDL,&DB_TC7,basicEquipment:FAS_GWDL,basicEquipment,,,&DB_GANWENDIANLANTANCEQI,&DB_ZHANTAICENGADUANRUODIANJINGQUYU
:R:A:ZXN:FAS:SRMK0259,FAS_SRMK,&DB_FMS70705,basicEquipment:FAS_SRMK,basicEquipment,,,&DB_SHURUMOKUAI,&DB_ZHANTAICENGADUANRUODIANJINGQUYUFMS707MOKUAIXIANG
