ID,ELEMENT_NAME,label,valueLength,unit,__AGGREGATE__,initCond1,returnCond1,returnCondTO,Archive,hmiOrder,computedMessage,type
:R:A:ASD:ASD_:dciFAS-HRFLTSTA,dci_cb_type,&DB_ZHUJIZHUANGTAI,,,,,,,,,,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTASTA,dci_cb_type,&DB_GUZHANGXINXIQUYUJINJI,,,,,,,,1,,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTLSTA,dci_cb_type,&DB_GUZHANGXINXIDIQILIU,,,,,,,,2,,__ERASE__
:R:A:ASD:ASD_:dciASD-FLTHSTA,dci_cb_type,&DB_GUZHANGXINXIGAOQILIU,,,,,,,,3,,__ERASE__
:R:A:ASD:ASD_:aciASD-RESMPT,aci_cb_type,&DB_SHISHIYANWUNONGDU,,&DB35,,,,,,4,"SCS_FTOA([.value],""2"",[.unit])",
