ID,v0,v1,v2,v3,v4
:R:A:ASD:ASD_:aciASD-RESMPT:aal:V_valueTable_format,1,1,1,1,1
:R:A:ASD:ASD_:aciASD-RESMPT:aal:V_valueTable_index,1,2,3,4,5
:R:A:ASD:ASD_:aciASD-RESMPT:aal:V_valueTable_label,&DB_OUTOFRANGELOW,&DB_LOW,&DB_NORMAL,&DB_HIGH,&DB_OUTOFRANGEHIGH
:R:A:ASD:ASD_:aciASD-RESMPT:aal:V_valueTable_severity,4,4,0,4,4
:R:A:ASD:ASD_:aciASD-RESMPT:aal:V_valueTable_state,A,A,N,A,A
