ID,ELEMENT_NAME
:R:A:ASD:ASD_:dciFAS-HRFLTSTA:dfo,dfo_type
:R:A:ASD:ASD_:dciASD-FLTASTA:dfo,dfo_type
:R:A:ASD:ASD_:dciASD-FLTLSTA:dfo,dfo_type
:R:A:ASD:ASD_:dciASD-FLTHSTA:dfo,dfo_type
:R:A:ASD:ASD_:aciASD-RESMPT:afo,afo_type
