nom_instance,ID,ELEMENT_NAME,lk0,lk1
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_5:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_5RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_5:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_5SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_5:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_5EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_5:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_5TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_6:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_6:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_6:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_6RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_6:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_6SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_6:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_6:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_6TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_7:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_7:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_7:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_7RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_7:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_7SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_7:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_7:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_7TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_8:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_8:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_8:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_8RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_8:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_8SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_8:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_8:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_8TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_9:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_9:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_9:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_9RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_9:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_9SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_9:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9EmStp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_9:dciACS-TpAlrm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_9TpAlrm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_10:dciACS-GenAlmM:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10GenAlmM,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_10:dciACS-GenAlm:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10GenAlm,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_10:aciACS-RtTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_10RtTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_10:aciACS-SpTemp:aac:link_ve,aac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:aeiSTAUCST000BACSHVACACSERU_10SpTemp,
link_ve,:R:A:STA:UCST000:BACS:HVAC:ACS:ERU_10:dciACS-EmStp:dac:link_ve,dac_type_link_ve,:R:A:POLE:UCST000_BACS_S0:VEE:deiSTAUCST000BACSHVACACSERU_10EmStp,
