ID,name,address,type,length,deadband,label,ELEMENT_NAME,varInvalid1,functTrans,SubscriptionPeriod,RefreshPeriod,link_object_is_from_object_type
:R:A:POLE_ZXN:FEP:SYS:DTS:VE0001,deiZXNSYSFEPDTS-COM,$ComStatus-00039/4+5,DEIV,4,0,DTS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:DTS:VE0002,deiZXNSYSFEPDTS-INF,$InfStatus-00035/4+5,DEIV,4,0,DTS - FEP INF STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:DTS:VE0003,deoZXNSYSFEPDTS-SET,$SetComStatus-00035-1,DEOV,4,0,DTS - FEP SET COM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:DTS:VE0004,deiZXNSYSFEPDTS-LINK1,000/001/00039/4/000001,DEIV,4,0,DTS - FEP LINK1 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:DTS:VE0005,deiZXNSYSFEPDTS-LINK2,000/001/00039/5/000001,DEIV,4,0,DTS - FEP LINK2 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:DTS:VE0006,deiZXNSYSFEPDTS-LINK3,000/002/00039/4/000001,DEIV,4,0,DTS - FEP LINK3 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:DTS:VE0007,deiZXNSYSFEPDTS-LINK4,000/002/00039/5/000001,DEIV,4,0,DTS - FEP LINK4 STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:ACS,ACS,,,,,ACS,GRP_VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:ACS:VE0001,deiZXNSYSFEPACS-COM,$ComStatus-00041/4+5,DEIV,4,0,ACS - FEP COMM STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:ACS:VE0002,deiZXNSYSFEPACS-INF,$InfStatus-00036/4+5,DEIV,4,0,ACS - FEP INF STATUS,VE,,,,,
:R:A:POLE_ZXN:FEP:SYS:ACS:VE0003,deoZXNSYSFEPACS-SET,$SetComStatus-00036-1,DEOV,4,0,ACS - FEP SET COM STATUS,VE,,,,,
